ID,Job_Title,Estimated_Employment,Entry_Hourly,Entry_Annual,Mean_Hourly,Mean_Annual,Hourly_25th_Percentile,Annual_25th_Percentile,Median_Hourly,Median_Annual,Hourly_75th_Percentile,Annual_75th_Percentile,Experienced_Hourly,Experienced_Annual,Year,Zone
11,Computer Network Support Specialists,210,16,"34,089",31,"64,740",19,"39,385",23,"48,647",44,"90,895",58,"121,406",2016,Northern Kentucky
12,"Computer Occupations, All Other",190,23,"47,389",38,"79,571",30,"62,088",39,"81,963",47,"97,043",54,"113,182",2016,Northern Kentucky
13,Operations Research Analysts,110,26,"54,295",38,"78,773",31,"64,583",37,"76,623",45,"93,532",54,"113,051",2016,Northern Kentucky
1,Computer Systems Analysts,110,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
2,Information Security Analysts,20,21,"43,416",37,"75,940",25,"52,650",34,"71,694",45,"94,372",59,"122,295",2016,South Central
3,Computer Programmers,30,23,"48,340",34,"69,817",28,"57,823",33,"69,437",38,"79,938",46,"95,452",2016,South Central
4,"Software Developers, Applications",70,15,"30,409",31,"64,409",22,"45,231",32,"65,843",38,"79,511",47,"96,975",2016,South Central
5,"Software Developers, Systems Software",N/A,21,"42,759",36,"74,056",23,"47,111",33,"69,417",51,"105,887",61,"127,331",2016,South Central
6,Web Developers,40,13,"27,603",24,"49,399",17,"34,725",22,"46,696",29,"60,197",36,"74,046",2016,South Central
7,Database Administrators,20,21,"43,638",35,"73,332",27,"56,212",36,"74,439",43,"90,408",50,"104,716",2016,South Central
8,Network and Computer Systems Administrators,170,19,"38,981",29,"60,697",22,"46,503",28,"58,905",36,"74,084",42,"86,950",2016,South Central
9,Computer Network Architects,30,19,"38,462",43,"89,332",27,"56,391",38,"78,543",65,"135,172",72,"149,050",2016,South Central
10,Computer User Support Specialists,200,12,"24,043",18,"36,917",14,"29,502",17,"36,118",21,"43,403",24,"50,606",2016,South Central
11,Computer Network Support Specialists,70,15,"30,933",26,"54,053",21,"43,473",28,"57,190",31,"64,162",35,"72,869",2016,South Central
12,"Computer Occupations, All Other",20,11,"21,851",29,"60,132",17,"34,884",28,"58,029",41,"85,304",47,"98,743",2016,South Central
13,Operations Research Analysts,N/A,16,"34,199",34,"70,473",18,"38,027",33,"68,340",48,"99,394",56,"115,991",2016,South Central
1,Computer Systems Analysts,130,23,"47,192",36,"75,884",30,"63,088",36,"74,594",44,"91,972",53,"110,745",2016,Western Kentucky
2,Information Security Analysts,20,21,"44,280",38,"78,486",24,"48,948",41,"85,513",47,"98,317",55,"113,446",2016,Western Kentucky
3,Computer Programmers,50,20,"41,269",29,"59,856",22,"45,396",26,"54,365",35,"72,345",42,"87,350",2016,Western Kentucky
4,"Software Developers, Applications",220,20,"41,951",31,"65,263",23,"48,499",30,"63,272",38,"78,344",45,"94,282",2016,Western Kentucky
5,"Software Developers, Systems Software",60,20,"41,689",35,"72,058",25,"51,726",33,"68,906",45,"93,375",56,"116,927",2016,Western Kentucky
6,Web Developers,40,13,"26,866",21,"44,299",14,"30,015",17,"36,366",24,"49,392",42,"87,148",2016,Western Kentucky
7,Database Administrators,60,14,"28,225",22,"45,013",15,"32,020",19,"39,882",26,"54,327",33,"69,046",2016,Western Kentucky
8,Network and Computer Systems Administrators,230,15,"30,360",25,"52,786",19,"39,009",24,"49,497",30,"61,824",37,"76,924",2016,Western Kentucky
9,Computer Network Architects,90,16,"34,306",26,"55,024",21,"42,676",26,"53,295",31,"64,307",38,"79,534",2016,Western Kentucky
10,Computer User Support Specialists,200,12,"24,398",18,"38,243",14,"28,639",17,"35,336",22,"45,154",29,"59,480",2016,Western Kentucky
